[[41612.485604995], [0.2675049901008606], [0.1108483150601387], [9.802579879760742]]
[[41612.505604995], [0.2718505859375], [0.09909479320049286], [9.809035301208496]]
[[41612.525604995], [0.28508371114730835], [0.11095826327800751], [9.79361343383789]]
[[41612.545604995], [0.28602463006973267], [0.08698585629463196], [9.806872367858887]]
[[41612.565604995], [0.28012263774871826], [0.10415665060281754], [9.806607246398926]]
[[41612.585604995], [0.27200958132743835], [0.1276785433292389], [9.79764461517334]]
[[41612.605604889], [0.2892589271068573], [0.09994912147521973], [9.801409721374512]]
[[41612.625605889], [0.2657429277896881], [0.10294544696807861], [9.810647964477539]]
[[41612.645605889], [0.27180489897727966], [0.10563400387763977], [9.808419227600098]]
[[41612.665605889], [0.27226829528808594], [0.11623679101467133], [9.804866790771484]]
[[41612.685605889], [0.2872624099254608], [0.11193303018808365], [9.80219841003418]]
[[41612.705605889], [0.27065467834472656], [0.09161312878131866], [9.815048217773438]]
[[41612.725605889], [0.2899433970451355], [0.11209477484226227], [9.812281608581543]]
[[41612.745605889], [0.29012131690979004], [0.1086001768708229], [9.795095443725586]]
[[41612.765605889], [0.2824293076992035], [0.10352668166160583], [9.802508354187012]]
[[41612.785605889], [0.29168501496315], [0.1077270358800888], [9.818266868591309]]
[[41612.805605889], [0.27653682231903076], [0.09700553119182587], [9.796283721923828]]
[[41612.825605889], [0.2745307981967926], [0.09092214703559875], [9.79201889038086]]
[[41612.845606783], [0.2839614152908325], [0.11263903975486755], [9.802770614624023]]
[[41612.865606783], [0.27122142910957336], [0.10888835042715073], [9.806129455566406]]
[[41612.885606783], [0.2932828962802887], [0.09837047755718231], [9.808778762817383]]
[[41612.905606783], [0.2923162281513214], [0.12325595319271088], [9.798598289489746]]
[[41612.925606783], [0.28435391187667847], [0.10780778527259827], [9.807300567626953]]
[[41612.945606783], [0.2944595515727997], [0.09511316567659378], [9.799912452697754]]
[[41612.965606783], [0.30213961005210876], [0.11199112236499786], [9.817216873168945]]
[[41612.985606783], [0.2875731289386749], [0.1189149022102356], [9.816357612609863]]
[[41613.005606783], [0.2847093641757965], [0.12070965021848679], [9.803387641906738]]
[[41613.025606783], [0.27891361713409424], [0.11302097886800766], [9.801743507385254]]
[[41613.045606783], [0.2722020149230957], [0.1062653511762619], [9.79909610748291]]
[[41613.065606783], [0.2958593964576721], [0.10175655782222748], [9.801406860351562]]
[[41613.085606783], [0.29313647747039795], [0.11995984613895416], [9.806079864501953]]
[[41613.105602678], [0.27907708287239075], [0.11330193281173706], [9.794899940490723]]
[[41613.125602678], [0.29146507382392883], [0.11404059082269669], [9.81328296661377]]
[[41613.145602678], [0.28070345520973206], [0.11106659471988678], [9.808180809020996]]
[[41613.165602678], [0.28614741563796997], [0.12309926003217697], [9.791922569274902]]
[[41613.185602678], [0.2776186466217041], [0.1186932921409607], [9.790468215942383]]
[[41613.205602678], [0.2846018075942993], [0.10917913168668747], [9.804628372192383]]
