[[41612.705605889], [0.0025071208365261555], [-0.0010341403540223837], [0.0016503038350492716]]
[[41612.725605889], [0.003536790842190385], [-8.940696716308594e-05], [0.00140592479147017]]
[[41612.745605889], [0.0010497868061065674], [0.002386420965194702], [0.0018589200917631388]]
[[41612.765605889], [-0.0008121132850646973], [-0.0009387729223817587], [-0.001990795135498047]]
[[41612.785605889], [-0.0016331672668457031], [-0.0011518595274537802], [-0.002644955413416028]]
[[41612.805605889], [-0.00025927997194230556], [-0.0027105212211608887], [0.0009216370526701212]]
[[41612.825605889], [-0.003364681964740157], [-0.0006407496985048056], [-0.00021010637283325195]]
[[41612.845606783], [0.00038817524909973145], [-0.00020861602388322353], [-0.0008180737495422363]]
[[41612.865606783], [0.003158301580697298], [-0.002717972034588456], [0.004883856745436788]]
[[41612.885606783], [-0.00012665963731706142], [-0.0001996755599975586], [-0.0028342006262391806]]
[[41612.905606783], [0.002708286512643099], [0.0013537704944610596], [0.0017218294087797403]]
[[41612.925606783], [-0.0002562999725341797], [0.00030323886312544346], [-0.0016808509826660156]]
[[41612.945606783], [0.0003166496753692627], [0.0033743681851774454], [-0.00033825612626969814]]
[[41612.965606783], [0.005152077181264758], [-0.0006154179573059082], [0.0017590823117643595]]
[[41612.985606783], [0.0046305363066494465], [-0.0015974044799804688], [0.003790110582485795]]
[[41613.005606783], [0.004789978265762329], [-0.002507865196093917], [-0.00018030405044555664]]
[[41613.025606783], [0.0013597309589385986], [-0.002436339622363448], [-0.0015810129698365927]]
[[41613.045606783], [0.0030435624066740274], [-0.0028878450393676758], [0.0012241306249052286]]
[[41613.065606783], [0.005806238390505314], [-0.0031590466387569904], [-0.0003874299582093954]]
[[41613.085606783], [0.005500764586031437], [-0.0038549306336790323], [0.005716831423342228]]
[[41613.105602678], [0.003144890069961548], [-0.0022783868480473757], [0.00010356330312788486]]
[[41613.125602678], [0.004143268568441272], [8.717179298400879e-05], [0.0017978253308683634]]
[[41613.145602678], [0.0014834105968475342], [-0.0024646520614624023], [0.0018648805562406778]]
[[41613.165602678], [0.002171844244003296], [0.00013485574163496494], [0.002419203519821167]]
[[41613.185602678], [0.002364069689065218], [0.0008367004338651896], [0.0023968524765223265]]
[[41613.205602678], [0.002258271211758256], [-0.002974271774291992], [0.0005461277905851603]]
[[41613.225603678], [-0.000788271427154541], [0.0018052756786346436], [0.0006638469640165567]]
[[41613.245603678], [0.0016741456929594278], [-0.0021710991859436035], [0.0018157067243009806]]
[[41613.265603678], [0.0002868473529815674], [-4.023290239274502e-05], [-0.0008434054907411337]]
[[41613.285603678], [0.0014938416425138712], [0.00044032931327819824], [-0.0005096194799989462]]
[[41613.305603678], [0.0024147336371243], [-0.0018477439880371094], [-0.0005960462149232626]]
[[41613.325603678], [0.0012703242246061563], [0.003462284803390503], [-0.0051170585211366415]]
[[41613.345603571], [-0.0012472271919250488], [-0.0005468723829835653], [-0.004267692333087325]]
[[41613.365603571], [0.0008307397365570068], [-0.001007318263873458], [-0.00117570161819458]]
[[41613.385603571], [0.001253932947292924], [0.0011108817998319864], [0.0010602176189422607]]
[[41613.405603571], [0.0005237758159637451], [0.0007174911443144083], [-0.0003814697265625]]
[[41613.425604571], [0.0032866273541003466], [-0.002170231193304062], [-0.0012497077696025372]]
[[41613.445604571], [0.00014379643835127354], [0.0016726553440093994], [0.0019975013565272093]]
[[41613.465604571], [0.002381950616836548], [-1.1920928955078125e-05], [0.0020183625165373087]]
[[41613.485604571], [0.0040687620639801025], [-2.9799994081258774e-06], [0.00154152512550354]]
[[41613.505604571], [0.006992369890213013], [0.00043287896551191807], [-0.000727176433429122]]
[[41613.525604571], [0.0017844142857939005], [-0.00037997961044311523], [0.003682822221890092]]
[[41613.545604571], [0.002508610486984253], [-0.00022202730178833008], [0.0028900804463773966]]
[[41613.565604571], [0.0022254884243011475], [0.0018663706723600626], [0.0003419816493988037]]
[[41613.585604571], [0.001695007085800171], [-0.002399086719378829], [0.0036336483899503946]]
[[41613.605604465], [-0.00019967532716691494], [-0.004699826240539551], [0.001316517824307084]]
[[41613.625604465], [0.004390627145767212], [-0.0011160969734191895], [-0.001788139110431075]]
[[41613.645605465], [0.0021018092520534992], [0.0008545818272978067], [0.0043444340117275715]]
[[41613.665605465], [0.002085417974740267], [-0.0010848043020814657], [0.002341717714443803]]
[[41613.685605465], [0.0025264921132475138], [0.0004954636096954346], [-0.00034570670686662197]]
[[41613.705605465], [0.00010356307029724121], [0.0012136995792388916], [0.0015683474484831095]]
[[41613.725605465], [-0.00023245811462402344], [-0.0006198880728334188], [2.7567148208618164e-05]]
[[41613.745605465], [0.002964586019515991], [-0.0006422398146241903], [5.43894711881876e-05]]
[[41613.765605465], [-0.0004976985510438681], [0.001115351915359497], [0.00017508887685835361]]
[[41613.785605465], [0.0005774202290922403], [9.462260641157627e-05], [-0.002060831058770418]]
[[41613.805605465], [0.002280622720718384], [0.0010542573872953653], [-0.0011667609214782715]]
[[41613.825605465], [-0.0026762483175843954], [-0.004461407661437988], [-0.0019744038581848145]]
[[41613.845605359], [0.0035189094487577677], [-0.001150369644165039], [-0.002190470462664962]]
[[41613.865606359], [0.003079324960708618], [0.00045821070671081543], [0.00016167783178389072]]
[[41613.885606359], [0.0007905066013336182], [0.0034622850362211466], [-0.0010520219802856445]]
[[41613.905606359], [0.0044144687708467245], [0.000295788049697876], [0.0011645257472991943]]
[[41613.925606359], [0.0037111344281584024], [0.0009261071681976318], [0.0013716521207243204]]
[[41613.945606359], [0.0058509414084255695], [-0.0002205371856689453], [0.005833059782162309]]
