[[41622.705601656], [46.780487060546875], [6.6614484786987305]]
[[41622.805601656], [46.78048801422119], [6.661450386047363]]
[[41622.90560255], [46.78048801422119], [6.661452293395996]]
[[41623.00560355], [46.78048896789551], [6.6614532470703125]]
[[41623.105598445], [46.780489921569824], [6.661455154418945]]
[[41623.205598445], [46.78049087524414], [6.661456108093262]]
[[41623.305599445], [46.78049182891846], [6.6614580154418945]]
[[41623.405599338], [46.78049278259277], [6.661458969116211]]
[[41623.505600338], [46.78049373626709], [6.661459922790527]]
[[41623.605600233], [46.78049564361572], [6.66146183013916]]
[[41623.705601233], [46.78049659729004], [6.661462783813477]]
[[41623.805601233], [46.780497550964355], [6.661463737487793]]
[[41623.905602127], [46.78049850463867], [6.661464691162109]]
[[41624.005603127], [46.78049945831299], [6.661465644836426]]
[[41624.105598022], [46.78050136566162], [6.661466598510742]]
[[41624.205598022], [46.78050231933594], [6.661467552185059]]
[[41624.305599022], [46.780503273010254], [6.661468505859375]]
[[41624.405598915], [46.78050518035889], [6.661469459533691]]
[[41624.505599915], [46.7805061340332], [6.661470413208008]]
[[41624.60559981], [46.78050708770752], [6.661472320556641]]
[[41624.70560081], [46.78050899505615], [6.661473274230957]]
[[41624.80560081], [46.78050994873047], [6.661473274230957]]
[[41624.905601704], [46.780510902404785], [6.661474227905273]]
[[41625.005602704], [46.78051280975342], [6.66147518157959]]
[[41625.105597599], [46.780513763427734], [6.661476135253906]]
[[41625.205597599], [46.78051567077637], [6.661477088928223]]
[[41625.305598599], [46.780516624450684], [6.661477088928223]]
[[41625.405598492], [46.780517578125], [6.661478042602539]]
[[41625.505599492], [46.78051948547363], [6.661478042602539]]
[[41625.605599387], [46.78052043914795], [6.6614789962768555]]
[[41625.705600387], [46.78052234649658], [6.6614789962768555]]
[[41625.805600387], [46.7805233001709], [6.661478042602539]]
[[41625.905601281], [46.78052520751953], [6.661478042602539]]
[[41626.005601281], [46.78052616119385], [6.661478042602539]]
[[41626.105597176], [46.78052806854248], [6.661478042602539]]
[[41626.205597176], [46.7805290222168], [6.661477088928223]]
[[41626.305598176], [46.78053092956543], [6.661476135253906]]
[[41626.405598069], [46.780531883239746], [6.661476135253906]]
[[41626.505599069], [46.78053379058838], [6.66147518157959]]
[[41626.605598964], [46.780534744262695], [6.66147518157959]]
[[41626.705599964], [46.78053569793701], [6.66147518157959]]
[[41626.805599964], [46.78053665161133], [6.661474227905273]]
[[41626.905600858], [46.78053855895996], [6.661474227905273]]
[[41627.005601858], [46.78053951263428], [6.661474227905273]]
