[[41642.499768203], [46.7805982], [6.6617348], [498477], [1399], [326], [10]]
[[41642.749768098], [46.7805993], [6.6617394999999995], [498445], [1494], [407], [-159]]
[[41642.999767993], [46.780600899999996], [6.661744], [498535], [1357], [661], [-73]]
[[41643.249767887], [46.780603199999995], [6.6617486], [498539], [1359], [1076], [-188]]
[[41643.499767781], [46.780605], [6.6617529], [498591], [1307], [807], [-119]]
[[41643.749767676], [46.7806066], [6.6617574], [498540], [1444], [770], [-73]]
[[41643.999767571], [46.7806084], [6.6617621], [498650], [1335], [777], [-2]]
[[41644.249767465], [46.7806102], [6.6617666], [498648], [1422], [821], [-261]]
[[41644.499767359], [46.7806113], [6.6617714], [498692], [1463], [479], [-78]]
[[41644.749767254], [46.780611699999994], [6.661776499999999], [498682], [1552], [194], [-89]]
[[41644.999767149], [46.7806119], [6.6617815], [498729], [1538], [88], [-68]]
[[41645.249767043], [46.780612], [6.6617863999999996], [498768], [1494], [60], [-151]]
[[41645.499766937], [46.7806119], [6.661791399999999], [498785], [1569], [-64], [-132]]
[[41645.749766831], [46.7806113], [6.6617961999999995], [498809], [1419], [-305], [-92]]
[[41645.999766727], [46.7806103], [6.6618011], [498826], [1511], [-381], [-73]]
[[41646.24976662], [46.7806098], [6.6618053999999995], [498867], [1340], [-259], [-111]]
[[41646.499766515], [46.780609299999995], [6.6618103], [498813], [1488], [-228], [-35]]
[[41646.749766409], [46.7806083], [6.6618148999999995], [498976], [1431], [-499], [-112]]
[[41646.999766305], [46.7806062], [6.6618192], [499262], [1303], [-928], [-693]]
[[41647.249766199], [46.7806037], [6.6618223], [499538], [913], [-1114], [-1050]]
[[41647.499766093], [46.780601399999995], [6.6618241], [499589], [610], [-1098], [-847]]
[[41647.749765988], [46.780599599999995], [6.6618254], [499477], [376], [-747], [-116]]
[[41647.999765883], [46.7805989], [6.6618257], [499415], [120], [-297], [314]]
[[41648.249765777], [46.7805988], [6.6618258], [499408], [42], [-82], [173]]
[[41648.499765671], [46.7805988], [6.661825899999999], [499400], [7], [4], [38]]
[[41648.749765566], [46.7805988], [6.661825899999999], [499406], [-10], [-7], [23]]
[[41648.999765462], [46.7805988], [6.661825899999999], [499401], [6], [0], [-5]]
[[41649.249765355], [46.7805988], [6.661825899999999], [499397], [-3], [-4], [14]]
[[41649.49976525], [46.7805988], [6.661825899999999], [499403], [-5], [4], [4]]
[[41649.749765144], [46.7805988], [6.661825899999999], [499402], [6], [-9], [-8]]
[[41649.99976504], [46.7805988], [6.6618258], [499409], [0], [-1], [-1]]
[[41650.249764933], [46.7805988], [6.6618258], [499405], [-1], [-2], [-23]]
[[41650.499764828], [46.7805988], [6.6618258], [499408], [0], [8], [6]]
[[41650.749764722], [46.7805988], [6.6618258], [499408], [2], [0], [-10]]
[[41650.999764618], [46.7805987], [6.6618258], [499417], [0], [-4], [-4]]
[[41651.249764512], [46.7805987], [6.6618258], [499417], [8], [-8], [-26]]
[[41651.499764406], [46.7805987], [6.6618258], [499415], [-7], [8], [-6]]
[[41651.749764301], [46.7805987], [6.6618258], [499414], [2], [-1], [8]]
[[41651.999764196], [46.7805987], [6.6618258], [499414], [4], [-3], [0]]
[[41652.24976409], [46.7805987], [6.6618258], [499413], [0], [3], [4]]
[[41652.499763985], [46.7805987], [6.6618258], [499416], [-3], [-3], [-3]]
[[41652.749763879], [46.7805987], [6.6618258], [499418], [-4], [-1], [-6]]
[[41652.999763775], [46.7805987], [6.6618258], [499425], [-3], [8], [-9]]
[[41653.249763669], [46.7805987], [6.6618258], [499420], [1], [-2], [-25]]
[[41653.499763563], [46.7805987], [6.6618258], [499418], [-3], [-1], [12]]
[[41653.749763458], [46.7805987], [6.6618258], [499415], [-2], [8], [0]]
[[41653.999763353], [46.7805987], [6.6618258], [499417], [-2], [8], [6]]
[[41654.249763247], [46.7805987], [6.6618258], [499419], [-3], [0], [-2]]
[[41654.499763142], [46.7805987], [6.6618258], [499424], [0], [-2], [-6]]
[[41654.749763036], [46.7805987], [6.6618258], [499423], [8], [-4], [-18]]
[[41654.999762932], [46.7805987], [6.6618258], [499416], [3], [3], [-5]]
[[41655.249762826], [46.7805987], [6.6618258], [499426], [-23], [-16], [24]]
[[41655.49976272], [46.7805987], [6.6618258], [499440], [11], [0], [-28]]
[[41655.749762615], [46.7805987], [6.6618258], [499441], [-9], [-3], [-51]]
[[41655.999762511], [46.7805987], [6.6618258], [499445], [6], [-1], [-17]]
[[41656.249762404], [46.7805987], [6.661825899999999], [499452], [23], [-6], [-19]]
[[41656.499762299], [46.780598499999996], [6.661827], [499470], [368], [-57], [-43]]
[[41656.749762194], [46.7805977], [6.66183], [499481], [886], [-360], [-72]]
[[41656.999762089], [46.7805962], [6.6618331], [499404], [934], [-689], [79]]
[[41657.249761983], [46.780594099999995], [6.6618359], [499186], [918], [-864], [451]]
[[41657.499761878], [46.780591699999995], [6.6618395999999995], [499077], [1054], [-1083], [691]]
[[41657.749761772], [46.7805889], [6.6618433999999995], [499052], [1125], [-1230], [406]]
[[41657.999761668], [46.7805858], [6.661846], [499134], [757], [-1411], [31]]
[[41658.249761562], [46.7805825], [6.6618474999999995], [499129], [534], [-1437], [-196]]
[[41658.499761456], [46.7805792], [6.661848399999999], [499193], [216], [-1478], [-94]]
[[41658.749761351], [46.7805758], [6.6618483], [499227], [6], [-1509], [-208]]
[[41658.999761247], [46.7805721], [6.6618469], [499221], [-405], [-1657], [-128]]
[[41659.249761141], [46.7805691], [6.661844899999999], [499268], [-612], [-1318], [-32]]
[[41659.499761035], [46.780566099999994], [6.661842], [499253], [-862], [-1332], [-86]]
[[41659.74976093], [46.7805633], [6.661839], [499283], [-971], [-1270], [-40]]
[[41659.999760826], [46.7805605], [6.6618355], [499253], [-1056], [-1266], [-28]]
[[41660.249760719], [46.7805581], [6.6618319], [499266], [-1122], [-1054], [7]]
[[41660.499760614], [46.7805557], [6.661827499999999], [499235], [-1253], [-1059], [57]]
[[41660.749760509], [46.7805537], [6.6618239], [499249], [-1087], [-899], [61]]
[[41660.999760404], [46.7805511], [6.661819599999999], [499180], [-1308], [-1165], [32]]
[[41661.249760298], [46.7805487], [6.6618156], [499234], [-1244], [-1052], [118]]
[[41661.499760193], [46.7805463], [6.6618110999999995], [499179], [-1329], [-1027], [-35]]
[[41661.749760088], [46.780544299999995], [6.661807], [499222], [-1246], [-902], [76]]
[[41661.999759983], [46.7805417], [6.6618021], [499194], [-1406], [-1130], [-10]]
[[41662.249759877], [46.7805396], [6.661797399999999], [499268], [-1348], [-886], [31]]
[[41662.499759772], [46.7805379], [6.6617928], [499192], [-1417], [-833], [-108]]
[[41662.749759666], [46.7805363], [6.6617891], [499184], [-1295], [-852], [85]]
[[41662.999759562], [46.780533999999996], [6.661785], [499118], [-1225], [-1002], [80]]
[[41663.249759456], [46.7805317], [6.6617806999999996], [499143], [-1308], [-978], [157]]
[[41663.499759351], [46.7805294], [6.661776499999999], [499090], [-1217], [-1027], [59]]
[[41663.749759246], [46.7805274], [6.6617728], [499107], [-1166], [-903], [99]]
[[41663.999759141], [46.780524799999995], [6.6617693], [499074], [-1036], [-1145], [16]]
[[41664.249759035], [46.7805222], [6.6617656], [499072], [-1187], [-1144], [70]]
[[41664.49975893], [46.7805201], [6.6617617], [499079], [-1096], [-915], [33]]
[[41664.749758825], [46.780518199999996], [6.6617577], [499040], [-1267], [-916], [28]]
[[41664.999758721], [46.7805159], [6.6617538], [499036], [-1139], [-983], [115]]
[[41665.249758614], [46.7805137], [6.6617495], [499039], [-1331], [-943], [37]]
[[41665.499758509], [46.7805116], [6.6617454], [499087], [-1201], [-951], [-28]]
[[41665.749758404], [46.7805095], [6.6617409], [499109], [-1376], [-916], [-117]]
[[41665.999758299], [46.780507199999995], [6.661736899999999], [499137], [-1240], [-1001], [-136]]
[[41666.249758193], [46.780505], [6.661732499999999], [499124], [-1367], [-1004], [-102]]
[[41666.499758088], [46.780502999999996], [6.6617282], [499164], [-1202], [-835], [-4]]
[[41666.749757983], [46.780501199999996], [6.6617239], [499100], [-1376], [-854], [-31]]
[[41666.999757878], [46.7804994], [6.6617197], [499104], [-1291], [-843], [120]]
[[41667.249757772], [46.780497399999994], [6.6617149], [499080], [-1491], [-896], [44]]
[[41667.499757667], [46.780495699999996], [6.6617108], [499099], [-1226], [-727], [27]]
[[41667.749757562], [46.780493799999995], [6.6617061], [499052], [-1376], [-826], [35]]
[[41667.999757458], [46.7804924], [6.6617019], [499088], [-1223], [-644], [99]]
